Date,Open,High,Low,Close,Volume
15/05/2018 06:00,732.1,736.67,730.94,733,766208.66
15/05/2018 07:00,733,735.99,730.45,733.82,259456.87
15/05/2018 08:00,733.82,734.92,721.58,731.68,2860231.46
15/05/2018 09:00,731.68,731.82,726.98,727.32,438411.32
15/05/2018 10:00,727.32,739.37,725.04,733.59,1424387.9
15/05/2018 11:00,733.59,737.14,728.53,730.24,1059293.78
15/05/2018 12:00,730.24,734.74,729.57,733.8,271730.05
15/05/2018 13:00,733.8,734.16,726.08,728.96,681927.61
15/05/2018 14:00,728.96,729.42,708.87,711.86,1985400.91
15/05/2018 15:00,711.86,722.34,708.32,720.64,966882.15
15/05/2018 16:00,720.64,732,716.88,723.75,947869.88
15/05/2018 17:00,723.75,731,713.82,717.18,1363631.83
15/05/2018 18:00,717.18,717.2,707.83,712.39,905331.26
15/05/2018 19:00,712.39,715.69,707.28,713,717224.89
15/05/2018 20:00,713,714.99,709.41,712.48,298321.99
15/05/2018 21:00,712.48,714.44,707.39,707.84,111062.32
15/05/2018 22:00,707.84,711.29,695.74,700.99,722734.02
15/05/2018 23:00,700.99,710.15,699.05,707.38,180311.96
16/05/2018 00:00,707.38,710.09,698.35,701.99,276275.08
16/05/2018 01:00,701.99,701.99,690.04,692.87,897943.58
16/05/2018 02:00,692.87,692.99,675.51,681.36,1517460.1
16/05/2018 03:00,681.36,692.14,679.08,679.76,856533.18
16/05/2018 04:00,679.76,690.99,679.75,685.99,529479.73
16/05/2018 05:00,685.99,686.6,680.2,684.28,171448.76
16/05/2018 06:00,684.28,688.78,682.65,686.67,381753.03
16/05/2018 07:00,686.67,694.43,685.79,691.57,275257.36
16/05/2018 08:00,691.57,691.57,682.76,687.88,706443.93
16/05/2018 09:00,687.88,693.65,684.38,692.3,149801.03
16/05/2018 10:00,692.3,708.62,692.3,702.61,1519575.34
16/05/2018 11:00,702.61,712,701.45,706,298400.51
16/05/2018 12:00,706,709.87,702.26,704.01,415819.25
16/05/2018 13:00,704.01,705.29,674.57,683.74,1850163.34
16/05/2018 14:00,683.74,694.51,683.66,691.91,647846.94
16/05/2018 15:00,691.91,702.08,691.68,697.31,1326941.88
16/05/2018 16:00,697.31,703,689.41,694.82,693991.95
16/05/2018 17:00,694.82,699,692.64,693.53,781073.31
16/05/2018 18:00,693.53,702.84,693.42,696.72,822737.36
16/05/2018 19:00,696.72,703.99,695.5,695.5,526576.51
16/05/2018 20:00,695.5,697.8,692.92,695.6,176133.84
16/05/2018 21:00,695.6,695.7,691.83,693.6,55815.68
16/05/2018 22:00,693.6,704.49,693.6,700.31,190409.37
16/05/2018 23:00,700.31,708.46,700.31,706.88,1729529.74
17/05/2018 00:00,706.88,714.99,706.56,711,401354.06
17/05/2018 01:00,711,715,705.33,712.86,2108525.95
17/05/2018 02:00,712.86,715.77,710.46,713.09,2276397.71
17/05/2018 03:00,713.09,718.9,707.11,710.94,701256.75
17/05/2018 04:00,710.94,713,708.3,708.3,68747.25
17/05/2018 05:00,708.3,712.31,706.3,710.27,537539.36
17/05/2018 06:00,710.27,712.15,706.45,706.45,776394.55
17/05/2018 07:00,706.45,707.88,695.01,697.99,2861826.73
17/05/2018 08:00,697.99,701.29,695.51,698.45,835552
17/05/2018 09:00,698.45,703.08,697.43,701.62,1662472.02
17/05/2018 10:00,701.62,702.6,695.07,699.03,2045252.98
17/05/2018 11:00,699.03,701.34,697.63,698.7,969340.26
17/05/2018 12:00,698.7,704.49,694.91,696.61,714245.09
17/05/2018 13:00,696.61,701.36,696,701,164504.36
17/05/2018 14:00,701,706.52,700.99,705.1,550722.59
17/05/2018 15:00,705.1,708,703.75,705,153762.78
17/05/2018 16:00,705,707,691.48,698.87,465048.62
17/05/2018 17:00,698.87,699.26,687.04,691.83,1272076.27
17/05/2018 18:00,691.83,691.83,677.98,681.46,1462427.38
17/05/2018 19:00,681.46,685,679.14,683.01,131942.01
17/05/2018 20:00,683.01,689.8,683.01,685.76,522431.47
17/05/2018 21:00,685.76,687,677.33,678.96,74943.24
17/05/2018 22:00,678.96,678.96,660.65,671.52,2789191.99
17/05/2018 23:00,671.52,674.96,663.76,669.04,1132806.17
18/05/2018 00:00,669.04,669.04,656.36,661.95,1070444.72
18/05/2018 01:00,661.95,671.13,657.62,665.98,527567.98
18/05/2018 02:00,665.98,672.54,663.7,669.16,608133.27
18/05/2018 03:00,669.16,674.52,669.16,669.24,211931.96
18/05/2018 04:00,669.24,679.99,669.24,674.19,1108873.17
18/05/2018 05:00,674.19,678.69,669.71,674.85,1407419.46
18/05/2018 06:00,674.85,675.02,667,667.99,388945.68
18/05/2018 07:00,667.99,680.99,666.19,677.18,2333934.91
18/05/2018 08:00,677.18,682,675.35,681.99,1303759.51
18/05/2018 09:00,681.99,682.27,678.57,680.99,254465.38
18/05/2018 10:00,680.99,684,679.32,682.46,402091.6
18/05/2018 11:00,682.46,683.99,674.6,682.17,503748.98
18/05/2018 12:00,682.17,683.31,677.95,680.42,386720.12
18/05/2018 13:00,680.42,681.54,674.6,676.69,216457.61
18/05/2018 14:00,676.69,676.69,666.78,671.99,418094.27
18/05/2018 15:00,671.99,680,669.26,676,679462.5
18/05/2018 16:00,676,680.54,670,679.06,1849527.72
18/05/2018 17:00,679.06,682.11,676.61,678.79,152924.67
18/05/2018 18:00,678.79,687.99,676.2,686.93,452371.02
18/05/2018 19:00,686.93,691.34,684.39,689.29,538555.32
18/05/2018 20:00,689.29,691.25,685.5,687.02,488422.67
18/05/2018 21:00,687.02,690.76,686.45,689.32,50221.19
18/05/2018 22:00,689.32,691.98,687.23,691.57,64466
18/05/2018 23:00,691.57,694.96,690.04,692.54,112719.6
19/05/2018 00:00,692.54,696,683.78,688.62,318309.83
19/05/2018 01:00,688.62,690.33,683.2,686.99,151080.4
19/05/2018 02:00,686.99,690,685.06,688.22,368509.9
19/05/2018 03:00,688.22,696.25,685.8,693.45,575093.6
19/05/2018 04:00,693.45,696.43,690,690.24,90807.63
19/05/2018 05:00,690.24,691.89,690,691.59,88017.36
19/05/2018 06:00,691.59,693.5,688.1,689.48,98965.35
19/05/2018 07:00,689.48,689.48,683,683.94,349406.35
19/05/2018 08:00,683.94,690.99,683.94,690.8,285527.33
19/05/2018 09:00,690.8,692.16,688.88,690.52,118545.29
19/05/2018 10:00,690.52,696.46,689.64,694.97,280455.66
19/05/2018 11:00,694.97,710,693.7,709.19,1251038.67
19/05/2018 12:00,709.19,711.41,706.32,710,964386.96
19/05/2018 13:00,710,716.93,703.54,704.66,770165.4
19/05/2018 14:00,704.66,708.13,704.28,706.14,230638.18
19/05/2018 15:00,706.14,708.93,703.51,706.53,149332.5
